@relation 'STORM_trainingSet_8-weka.filters.unsupervised.attribute.Remove-R1,2'

@attribute ' Size' numeric
@attribute ' LOC Touched' numeric
@attribute ' NR' numeric
@attribute ' NFix' numeric
@attribute ' NAuth' numeric
@attribute ' LOC Added' numeric
@attribute ' Max LOC Added' numeric
@attribute ' Average LOC Added' numeric
@attribute ' Churn' numeric
@attribute ' Max Churn' numeric
@attribute ' Average Churn' numeric
@attribute ' Bugginess' {yes,no}

@data
43,549,11,1,7,373,60,33.909091,197,43,17.909091,no
33,167,7,0,4,167,33,23.857143,167,33,23.857143,no
34,170,7,0,4,170,34,24.285714,170,34,24.285714,no
169,659,22,0,18,617,169,28.045455,575,169,26.136364,no
35,173,7,0,4,173,35,24.714286,173,35,24.714286,no
88,374,14,0,11,374,88,26.714286,374,88,26.714286,no
46,206,7,0,4,206,46,29.428571,206,46,29.428571,no
45,203,7,0,4,203,45,29,203,45,29,no
43,197,7,0,4,197,43,28.142857,197,43,28.142857,no
24,348,11,1,7,248,41,22.545455,148,24,13.454545,no
14,110,7,0,4,110,17,15.714286,110,17,15.714286,no
28,152,7,0,4,152,28,21.714286,152,28,21.714286,no
68,272,7,0,4,272,68,38.857143,272,68,38.857143,no
20,128,7,0,4,128,20,18.285714,128,20,18.285714,no
44,260,17,0,11,250,44,14.705882,240,44,14.117647,no
69,275,7,0,4,275,69,39.285714,275,69,39.285714,no
17,255,7,0,4,187,34,26.714286,119,17,17,no
66,298,15,0,12,282,66,18.8,266,66,17.733333,no
37,449,22,0,17,430,37,19.545455,411,37,18.681818,no
50,232,14,0,11,225,50,16.071429,218,50,15.571429,no
45,203,7,0,4,203,45,29,203,45,29,no
5,119,16,0,10,119,17,7.4375,119,17,7.4375,no
12,150,22,0,17,139,17,6.318182,128,17,5.818182,no
19,125,7,0,4,125,19,17.857143,125,19,17.857143,no
16,116,7,0,4,116,17,16.571429,116,17,16.571429,no
9,130,14,0,11,116,17,8.285714,102,17,7.285714,no
27,149,7,0,4,149,27,21.285714,149,27,21.285714,no
12,104,7,0,4,104,17,14.857143,104,17,14.857143,no
12,104,7,0,4,104,17,14.857143,104,17,14.857143,no
8,92,7,0,4,92,17,13.142857,92,17,13.142857,no
36,1358,23,0,10,1358,131,59.043478,1358,131,59.043478,no
15,113,7,0,4,113,17,16.142857,113,17,16.142857,no
36,190,14,0,11,183,36,13.071429,176,36,12.571429,no
19,125,7,0,4,125,19,17.857143,125,19,17.857143,no
5,83,7,0,4,83,17,11.857143,83,17,11.857143,no
342,2224,53,6,23,1885,342,35.566038,1546,342,29.169811,yes
16,116,7,0,4,116,17,16.571429,116,17,16.571429,no
8,99,14,0,11,92,17,6.571429,85,17,6.071429,no
11,101,7,0,4,101,17,14.428571,101,17,14.428571,no
8,92,7,0,4,92,17,13.142857,92,17,13.142857,no
8,92,7,0,4,92,17,13.142857,92,17,13.142857,no
9,95,7,0,4,95,17,13.571429,95,17,13.571429,no
33,183,11,1,7,167,33,15.181818,151,33,13.727273,no
7,89,7,0,4,89,17,12.714286,89,17,12.714286,no
8,99,14,0,11,92,17,6.571429,85,17,6.071429,no
9,95,7,0,4,95,17,13.571429,95,17,13.571429,no
14,110,7,0,4,110,17,15.714286,110,17,15.714286,no
77,299,7,0,4,299,77,42.714286,299,77,42.714286,no
44,200,7,0,4,200,44,28.571429,200,44,28.571429,no
79,337,15,0,12,321,79,21.4,305,79,20.333333,no
200,682,14,0,11,675,200,48.214286,668,200,47.714286,no
493,1807,31,0,18,1732,493,55.870968,1657,493,53.451613,no
39,185,7,0,4,185,39,26.428571,185,39,26.428571,no
52,224,7,0,4,224,52,32,224,52,32,no
142,595,18,0,13,549,142,30.5,503,142,27.944444,no
125,457,14,0,11,450,125,32.142857,443,125,31.642857,no
132,464,7,0,4,464,132,66.285714,464,132,66.285714,no
122,1120,26,2,13,981,122,37.730769,842,122,32.384615,yes
83,591,21,0,16,539,83,25.666667,487,83,23.190476,no
81,381,14,0,11,332,81,23.714286,283,81,20.214286,no
154,1423,33,0,23,616,154,18.666667,-191,154,-5.787879,no
334,1221,26,0,18,1163,334,44.730769,1105,334,42.5,no
20,128,7,0,4,128,20,18.285714,128,20,18.285714,no
37,179,7,0,4,179,37,25.571429,179,37,25.571429,no
27,149,7,0,4,149,27,21.285714,149,27,21.285714,no
18,122,7,0,4,122,18,17.428571,122,18,17.428571,no
7,89,7,0,4,89,17,12.714286,89,17,12.714286,no
67,1090,38,1,20,562,67,14.789474,34,67,0.894737,yes
165,10142,99,11,31,6854,462,69.232323,3566,327,36.020202,yes
160,548,7,0,4,548,160,78.285714,548,160,78.285714,no
42,222,14,0,11,208,42,14.857143,194,42,13.857143,no
51,263,14,0,11,242,51,17.285714,221,51,15.785714,no
139,527,14,0,11,506,139,36.142857,485,139,34.642857,no
73,2512,46,7,21,1896,126,41.217391,1280,89,27.826087,yes
26,146,7,0,4,146,26,20.857143,146,26,20.857143,no
26,146,7,0,4,146,26,20.857143,146,26,20.857143,no
21,173,14,0,10,152,21,10.857143,131,21,9.357143,no
37,1620,65,2,25,1253,72,19.276923,886,62,13.630769,yes
47,251,14,0,11,223,47,15.928571,195,47,13.928571,no
107,535,23,0,18,484,107,21.043478,433,107,18.826087,no
30,172,14,0,11,165,30,11.785714,158,30,11.285714,no
132,2293,57,5,28,1750,132,30.701754,1207,132,21.175439,yes
41,407,13,0,8,323,41,24.846154,239,41,18.384615,no
86,622,29,1,19,539,86,18.586207,456,86,15.724138,yes
144,1218,19,0,14,661,144,34.789474,104,144,5.473684,no
398,13717,182,22,45,10478,949,57.571429,7239,778,39.774725,yes
169,647,15,2,9,615,169,41,583,169,38.866667,no
34,170,7,0,4,170,34,24.285714,170,34,24.285714,no
358,1142,7,0,4,1142,358,163.142857,1142,358,163.142857,no
31,269,19,1,10,245,31,12.894737,221,31,11.631579,yes
13,107,7,0,4,107,17,15.285714,107,17,15.285714,no
357,1178,19,1,11,1166,357,61.368421,1154,357,60.736842,yes
23,137,7,0,4,137,23,19.571429,137,23,19.571429,no
796,3454,36,3,21,3014,796,83.722222,2574,796,71.5,yes
95,585,39,2,19,523,95,13.410256,461,95,11.820513,yes
166,622,14,0,11,594,166,42.428571,566,166,40.428571,no
15,113,7,0,4,113,17,16.142857,113,17,16.142857,no
15,113,7,0,4,113,17,16.142857,113,17,16.142857,no
9,95,7,0,4,95,17,13.571429,95,17,13.571429,no
157,539,7,0,4,539,157,77,539,157,77,no
14,110,7,0,4,110,17,15.714286,110,17,15.714286,no
7,89,7,0,4,89,17,12.714286,89,17,12.714286,no
17,119,7,0,4,119,17,17,119,17,17,no
106,519,18,1,12,443,106,24.611111,367,106,20.388889,yes
70,439,14,0,11,348,70,24.857143,257,70,18.357143,no
9,95,7,0,4,95,17,13.571429,95,17,13.571429,no
8,92,7,0,4,92,17,13.142857,92,17,13.142857,no
6,86,7,0,4,86,17,12.285714,86,17,12.285714,no
6,86,7,0,4,86,17,12.285714,86,17,12.285714,no
6,86,7,0,4,86,17,12.285714,86,17,12.285714,no
16,116,7,0,4,116,17,16.571429,116,17,16.571429,no
15,113,7,0,4,113,17,16.142857,113,17,16.142857,no
12,104,7,0,4,104,17,14.857143,104,17,14.857143,no
5,83,7,0,4,83,17,11.857143,83,17,11.857143,no
8,96,11,1,7,92,17,8.363636,88,17,8,no
7,89,7,0,4,89,17,12.714286,89,17,12.714286,no
14,110,7,0,4,110,17,15.714286,110,17,15.714286,no
