@relation 'BOOKKEEPER_trainingSet_4-weka.filters.unsupervised.attribute.Remove-R1,2'

@attribute ' Size' numeric
@attribute ' LOC Touched' numeric
@attribute ' NR' numeric
@attribute ' NFix' numeric
@attribute ' NAuth' numeric
@attribute ' LOC Added' numeric
@attribute ' Max LOC Added' numeric
@attribute ' Average LOC Added' numeric
@attribute ' Churn' numeric
@attribute ' Max Churn' numeric
@attribute ' Average Churn' numeric
@attribute ' Bugginess' {no,yes}

@data
56,74,5,0,4,66,56,13.2,58,56,11.6,no
74,138,9,1,6,126,63,14,114,63,12.666667,no
359,1891,61,8,28,1363,289,22.344262,835,289,13.688525,no
174,218,6,0,4,197,173,32.833333,176,173,29.333333,no
148,185,7,0,5,166,147,23.714286,147,147,21,no
92,1604,10,1,4,846,763,84.6,88,763,8.8,no
45,77,17,1,11,71,45,4.176471,65,45,3.823529,no
168,460,16,2,12,376,166,23.5,292,166,18.25,no
77,132,7,0,5,105,77,15,78,77,11.142857,no
666,1056,8,1,7,882,665,110.25,708,665,88.5,no
88,199,8,1,7,187,55,23.375,175,55,21.875,no
262,2163,57,7,30,1370,224,24.035088,577,209,10.122807,no
54,66,4,0,4,60,54,15,54,54,13.5,no
48,212,9,2,7,119,38,13.222222,26,38,2.888889,no
140,1108,17,3,10,694,192,40.823529,280,163,16.470588,no
152,193,4,0,3,184,129,46,175,129,43.75,no
39,155,7,0,6,118,56,16.857143,81,56,11.571429,no
131,141,3,0,3,135,131,45,129,131,43,no
47,59,4,0,4,53,47,13.25,47,47,11.75,no
129,355,14,1,10,268,94,19.142857,181,94,12.928571,no
43,55,4,0,4,49,43,12.25,43,43,10.75,no
243,578,17,2,10,450,94,26.470588,322,94,18.941176,no
62,84,3,1,2,73,32,24.333333,62,32,20.666667,no
45,78,3,0,3,56,45,18.666667,34,45,11.333333,no
97,233,8,2,6,210,94,26.25,187,94,23.375,no
476,476,1,0,1,476,476,476,476,476,476,no
77,77,1,0,1,77,77,77,77,77,77,no
69,69,1,0,1,69,69,69,69,69,69,no
104,104,1,0,1,104,104,104,104,104,104,no
115,115,1,0,1,115,115,115,115,115,115,no
421,421,1,0,1,421,421,421,421,421,421,no
61,61,1,0,1,61,61,61,61,61,61,no
2009,2033,2,1,2,2021,2009,1010.5,2009,2009,1004.5,no
179,179,1,0,1,179,179,179,179,179,179,no
106,106,1,0,1,106,106,106,106,106,106,no
33,33,1,0,1,33,33,33,33,33,33,no
657,657,1,0,1,657,657,657,657,657,657,no
295,295,1,0,1,295,295,295,295,295,295,no
872,872,1,0,1,872,872,872,872,872,872,no
444,444,1,0,1,444,444,444,444,444,444,no
168,168,1,0,1,168,168,168,168,168,168,no
752,752,1,0,1,752,752,752,752,752,752,no
135,135,1,0,1,135,135,135,135,135,135,no
1126,1126,1,0,1,1126,1126,1126,1126,1126,1126,no
163,163,1,0,1,163,163,163,163,163,163,no
184,184,1,0,1,184,184,184,184,184,184,no
51,51,1,0,1,51,51,51,51,51,51,no
25,25,1,0,1,25,25,25,25,25,25,no
180,180,1,0,1,180,180,180,180,180,180,no
64,64,1,0,1,64,64,64,64,64,64,no
101,101,1,0,1,101,101,101,101,101,101,no
512,512,1,0,1,512,512,512,512,512,512,no
187,187,1,0,1,187,187,187,187,187,187,no
56,56,1,0,1,56,56,56,56,56,56,no
39,39,1,0,1,39,39,39,39,39,39,no
261,261,1,0,1,261,261,261,261,261,261,no
73,73,1,0,1,73,73,73,73,73,73,no
65,65,1,0,1,65,65,65,65,65,65,no
329,329,1,0,1,329,329,329,329,329,329,no
64,64,1,0,1,64,64,64,64,64,64,no
164,164,1,0,1,164,164,164,164,164,164,no
624,628,2,1,2,626,621,313,624,621,312,no
74,74,1,0,1,74,74,74,74,74,74,no
117,117,1,0,1,117,117,117,117,117,117,no
84,84,1,0,1,84,84,84,84,84,84,no
226,228,2,1,2,227,226,113.5,226,226,113,no
76,76,1,0,1,76,76,76,76,76,76,no
323,323,1,0,1,323,323,323,323,323,323,no
72,72,1,0,1,72,72,72,72,72,72,no
42,42,1,0,1,42,42,42,42,42,42,no
48,64,3,0,2,56,48,18.666667,48,48,16,no
89,101,4,1,3,95,63,23.75,89,63,22.25,no
380,432,8,1,4,406,237,50.75,380,237,47.5,no
141,162,7,2,4,153,133,21.857143,144,133,20.571429,no
148,188,9,2,4,168,136,18.666667,148,136,16.444444,no
