Release ID, Filepath, Size, LOC Touched, NR, NFix, NAuth, LOC Added, Max LOC Added, Average LOC Added, Churn, Max Churn, Average Churn, Bugginess
1,storm-core/src/jvm/backtype/storm/generated/ComponentObject.java,385,2363,28,2,16,2093,385,74.75,1823,385,65.10714285714286,no
1,storm-core/src/jvm/backtype/storm/generated/DRPCExecutionException.java,327,2780,39,2,20,2221,328,56.94871794871795,1662,328,42.61538461538461,no
1,storm-core/src/jvm/backtype/storm/generated/DRPCRequest.java,424,3487,39,2,20,2740,425,70.25641025641026,1993,425,51.1025641025641,no
1,storm-core/src/jvm/backtype/storm/generated/DistributedRPC.java,964,10344,51,3,22,8485,964,166.37254901960785,6626,964,129.92156862745097,no
1,storm-core/src/jvm/backtype/storm/generated/DistributedRPCInvocations.java,2015,23917,51,3,22,19844,2015,389.0980392156863,15771,2015,309.2352941176471,no
1,storm-core/src/jvm/backtype/storm/generated/ErrorInfo.java,424,5985,46,3,22,4748,425,103.21739130434783,3511,425,76.32608695652173,no
1,storm-core/src/jvm/backtype/storm/generated/ExecutorInfo.java,419,3634,39,2,20,2791,420,71.56410256410257,1948,420,49.94871794871795,no
1,storm-core/src/jvm/backtype/storm/generated/ExecutorSpecificStats.java,318,1982,28,2,16,1762,318,62.92857142857143,1542,318,55.07142857142857,no
1,storm-core/src/jvm/backtype/storm/generated/ExecutorStats.java,678,11480,59,2,24,7739,679,131.16949152542372,3998,679,67.76271186440678,no
1,storm-core/src/jvm/backtype/storm/generated/ExecutorSummary.java,807,6744,39,2,20,5103,808,130.84615384615384,3462,808,88.76923076923077,no
1,storm-core/src/jvm/backtype/storm/generated/GlobalStreamId.java,424,3487,39,2,20,2740,425,70.25641025641026,1993,425,51.1025641025641,no
1,storm-core/src/jvm/backtype/storm/generated/Grouping.java,662,4148,28,2,16,3706,662,132.35714285714286,3264,662,116.57142857142857,no
1,storm-core/src/jvm/backtype/storm/generated/InvalidTopologyException.java,327,2780,39,2,20,2221,328,56.94871794871795,1662,328,42.61538461538461,no
1,storm-core/src/jvm/backtype/storm/generated/JavaObject.java,462,4165,39,2,20,3216,463,82.46153846153847,2267,463,58.12820512820513,no
1,storm-core/src/jvm/backtype/storm/generated/JavaObjectArg.java,532,3120,28,2,16,2802,532,100.07142857142857,2484,532,88.71428571428571,no
1,storm-core/src/jvm/backtype/storm/generated/KillOptions.java,319,3034,39,2,20,2381,320,61.05128205128205,1728,320,44.30769230769231,no
1,storm-core/src/jvm/backtype/storm/generated/Nimbus.java,13491,315576,95,6,30,285698,22721,3007.3473684210526,255820,22719,2692.842105263158,no
1,storm-core/src/jvm/backtype/storm/generated/NotAliveException.java,327,2780,39,2,20,2221,328,56.94871794871795,1662,328,42.61538461538461,no
1,storm-core/src/jvm/backtype/storm/generated/NullStruct.java,224,2045,39,2,20,1684,225,43.17948717948718,1323,225,33.92307692307692,no
1,storm-core/src/jvm/backtype/storm/generated/RebalanceOptions.java,548,6531,55,2,24,4613,549,83.87272727272727,2695,549,49.0,no
1,storm-core/src/jvm/backtype/storm/generated/ShellComponent.java,416,3617,39,2,20,2878,417,73.7948717948718,2139,417,54.84615384615385,no
1,storm-core/src/jvm/backtype/storm/generated/SpoutSpec.java,426,3583,39,2,20,2816,427,72.2051282051282,2049,427,52.53846153846154,no
1,storm-core/src/jvm/backtype/storm/generated/SpoutStats.java,755,13432,53,2,24,8604,756,162.33962264150944,3776,756,71.24528301886792,no
1,storm-core/src/jvm/backtype/storm/generated/StateSpoutSpec.java,426,3583,39,2,20,2816,427,72.2051282051282,2049,427,52.53846153846154,no
1,storm-core/src/jvm/backtype/storm/generated/StormTopology.java,659,8100,44,2,22,6181,660,140.47727272727272,4262,660,96.86363636363636,no
1,storm-core/src/jvm/backtype/storm/generated/StreamInfo.java,461,4278,39,2,20,3241,462,83.1025641025641,2204,462,56.51282051282051,no
1,storm-core/src/jvm/backtype/storm/generated/SubmitOptions.java,339,4582,51,3,22,3811,340,74.72549019607843,3040,340,59.6078431372549,no
1,storm-core/src/jvm/backtype/storm/generated/SupervisorSummary.java,705,9657,55,4,25,8021,706,145.83636363636364,6385,706,116.0909090909091,no
1,storm-core/src/jvm/backtype/storm/generated/TopologyInfo.java,917,24370,81,3,28,19930,930,246.0493827160494,15490,918,191.23456790123456,no
1,storm-core/src/jvm/backtype/storm/generated/TopologyInitialStatus.java,44,262,28,2,16,236,44,8.428571428571429,210,44,7.5,no
1,storm-core/src/jvm/backtype/storm/generated/TopologySummary.java,894,17979,72,5,25,15600,895,216.66666666666666,13221,895,183.625,no
1,storm-core/src/jvm/backtype/storm/grouping/CustomStreamGrouping.java,26,146,7,0,4,146,26,20.857142857142858,146,26,20.857142857142858,no
1,storm-core/src/jvm/backtype/storm/hooks/BaseTaskHook.java,44,200,7,0,4,200,44,28.571428571428573,200,44,28.571428571428573,no
1,storm-core/src/jvm/backtype/storm/hooks/ITaskHook.java,21,131,7,0,4,131,21,18.714285714285715,131,21,18.714285714285715,no
